ECG,Heart Rate
0.147095,82
0.142212,82
0.137329,82
0.132446,82
0.127258,82
0.121765,82
0.115967,82
0.109863,82
0.10376,82
0.0976563,82
0.0912476,82
0.085144,82
0.0790405,82
0.072937,82
0.0668335,82
0.0610352,82
0.055542,82
0.0500488,82
0.0448608,82
0.039978,82
0.0350952,82
0.0305176,82
0.0259399,82
0.0216675,82
0.0177002,82
0.0137329,82
0.0100708,82
0.00671387,82
0.00335693,82
0.000305176,82
-0.00274658,82
-0.00579834,82
-0.00854492,82
-0.0112915,82
-0.0140381,82
-0.0170898,82
-0.0201416,82
-0.0234985,82
-0.0268555,82
-0.0302124,82
-0.0335693,82
-0.0366211,82
-0.039978,82
-0.043335,82
-0.0463867,82
-0.0497437,82
-0.0524902,82
-0.0552368,82
-0.0576782,82
-0.0598145,82
-0.0619507,82
-0.0637817,82
-0.0653076,82
-0.0668335,82
-0.067749,82
-0.0686646,82
-0.0692749,82
-0.0695801,82
-0.0698853,82
-0.0698853,82
-0.0698853,82
-0.0695801,82
-0.0692749,82
-0.0686646,82
-0.0680542,82
-0.0674438,82
-0.0668335,82
-0.0662231,82
-0.065918,82
-0.065918,82
-0.0656128,82
-0.0656128,82
-0.0653076,82
-0.0650024,82
-0.0646973,82
-0.0643921,82
-0.0643921,82
-0.0643921,82
-0.0643921,82
-0.0643921,82
-0.0643921,82
-0.0643921,82
-0.0637817,82
-0.0631714,82
-0.062561,82
-0.0619507,82
-0.0613403,82
-0.06073,82
-0.0601196,82
-0.0598145,82
-0.0595093,82
-0.0595093,82
-0.0595093,82
-0.0595093,82
-0.0592041,82
-0.0592041,82
-0.0592041,82
-0.0592041,82
-0.0595093,82
-0.0598145,82
-0.0598145,82
-0.0601196,82
-0.0604248,82
-0.0610352,82
-0.0616455,82
-0.0622559,82
-0.0628662,82
-0.0631714,82
-0.0631714,82
-0.0631714,82
-0.0628662,82
-0.062561,82
-0.0619507,82
-0.0610352,82
-0.0604248,82
-0.0595093,82
-0.0588989,82
-0.0579834,82
-0.0570679,82
-0.0561523,82
-0.055542,82
-0.0549316,82
-0.0543213,82
-0.0537109,82
-0.0527954,82
-0.0518799,82
-0.0509644,82
-0.0500488,82
-0.0497437,82
-0.0494385,82
-0.0494385,82
-0.0491333,82
-0.0491333,82
-0.0491333,82
-0.0491333,82
-0.0494385,82
-0.0497437,82
-0.0497437,82
-0.0500488,82
-0.0500488,82
-0.0500488,82
-0.0500488,82
-0.0500488,82
-0.0500488,82
-0.050354,82
-0.050354,82
-0.050354,82
-0.0500488,82
-0.0494385,82
-0.0491333,82
-0.0485229,82
-0.0476074,82
-0.0466919,82
-0.0457764,82
-0.0448608,82
-0.0436401,82
-0.0427246,82
-0.0415039,82
-0.0405884,82
-0.0393677,82
-0.0384521,82
-0.0375366,82
-0.0366211,82
-0.0357056,82
-0.03479,82
-0.0341797,82
-0.0335693,82
-0.0332642,82
-0.032959,82
-0.0323486,82
-0.0320435,82
-0.0317383,82
-0.0311279,82
-0.0308228,82
-0.0305176,82
-0.0302124,82
-0.0299072,82
-0.0292969,82
-0.0286865,82
-0.027771,82
-0.0271606,82
-0.0265503,82
-0.0259399,82
-0.0256348,82
-0.0253296,82
-0.0247192,82
-0.0244141,82
-0.0238037,82
-0.0234985,82
-0.0228882,82
-0.022583,82
-0.0219727,82
-0.0210571,82
-0.0201416,82
-0.0189209,82
-0.0177002,82
-0.0164795,82
-0.0152588,82
-0.0143433,82
-0.0137329,82
-0.0134277,82
-0.0131226,82
-0.0128174,82
-0.0125122,82
-0.012207,82
-0.0119019,82
-0.0119019,82
-0.0119019,82
-0.0119019,82
-0.012207,82
-0.0125122,82
-0.0131226,82
-0.0140381,82
-0.0146484,82
-0.0158691,82
-0.0167847,82
-0.017395,82
-0.0183105,82
-0.0186157,82
-0.0186157,82
-0.0183105,82
-0.0177002,82
-0.0167847,82
-0.0158691,82
-0.0146484,82
-0.0134277,82
-0.0125122,82
-0.0115967,82
-0.0109863,82
-0.0100708,82
-0.00946045,82
-0.0088501,82
-0.00854492,82
-0.00793457,82
-0.00793457,82
-0.00793457,82
-0.00823975,82
-0.00854492,82
-0.00915527,82
-0.00976563,82
-0.010376,82
-0.0112915,82
-0.0119019,82
-0.0128174,82
-0.0134277,82
-0.0143433,82
-0.0149536,82
-0.015564,82
-0.0161743,82
-0.0167847,82
-0.0170898,82
-0.017395,82
-0.017395,82
-0.0170898,82
-0.0167847,82
-0.0167847,82
-0.0167847,82
-0.0167847,82
-0.0170898,82
-0.0170898,82
-0.0170898,82
-0.0167847,82
-0.0164795,82
-0.0158691,82
-0.015564,82
-0.0152588,82
-0.0152588,82
-0.0152588,82
-0.0149536,82
-0.0149536,82
-0.0149536,82
-0.0146484,82
-0.0143433,82
-0.0143433,82
-0.0140381,82
-0.0137329,82
-0.0131226,82
-0.0125122,82
-0.0115967,82
-0.0106812,82
-0.0100708,82
-0.00946045,82
-0.0088501,82
-0.00793457,82
-0.00701904,82
-0.00610352,82
-0.00488281,82
-0.00427246,82
-0.00335693,82
-0.00244141,82
-0.00183105,82
-0.00152588,82
-0.00183105,82
-0.00213623,82
-0.00274658,82
-0.00335693,82
-0.00396729,82
-0.00488281,82
-0.00610352,82
-0.00732422,82
-0.00854492,82
-0.00976563,82
-0.0109863,82
-0.012207,82
-0.0131226,82
-0.0140381,82
-0.0143433,82
-0.0143433,82
-0.0134277,82
-0.012207,82
-0.0100708,82
-0.00701904,82
-0.00366211,82
0,82
0.00427246,82
0.0088501,82
0.0134277,82
0.0183105,82
0.0231934,82
0.0283813,82
0.0332642,82
0.0384521,82
0.043335,82
0.0479126,82
0.0518799,82
0.0558472,82
0.0592041,82
0.0619507,82
0.0646973,82
0.0674438,82
0.0698853,82
0.0723267,82
0.0744629,82
0.0762939,82
0.0784302,82
0.0802612,82
0.0820923,82
0.0836182,82
0.085144,82
0.0860596,82
0.0872803,82
0.0881958,82
0.0891113,82
0.0897217,82
0.090332,82
0.0906372,82
0.0909424,82
0.0909424,82
0.0906372,82
0.0900269,82
0.0891113,82
0.0878906,82
0.0863647,82
0.0848389,82
0.0830078,82
0.0808716,82
0.0787354,82
0.0762939,82
0.0738525,82
0.0714111,82
0.0689697,82
0.0665283,82
0.0637817,82
0.0613403,82
0.0585938,82
0.0561523,82
0.0534058,82
0.0506592,82
0.0479126,82
0.0448608,82
0.0415039,82
0.0384521,82
0.0350952,82
0.0317383,82
0.0286865,82
0.0256348,82
0.022583,82
0.0195313,82
0.0167847,82
0.0140381,82
0.0115967,82
0.00915527,82
0.00701904,82
0.00488281,82
0.00274658,82
0.000305176,82
-0.00213623,82
-0.00457764,82
-0.00671387,82
-0.00854492,82
-0.010376,82
-0.012207,82
-0.0143433,82
-0.0161743,82
-0.0186157,82
-0.020752,82
-0.0228882,82
-0.0250244,82
-0.0271606,82
-0.0286865,82
-0.0302124,82
-0.0311279,82
-0.0320435,82
-0.032959,82
-0.0341797,82
-0.0354004,82
-0.0366211,82
-0.0375366,82
-0.0384521,82
-0.0390625,82
-0.0390625,82
-0.0390625,82
-0.0387573,82
-0.038147,82
-0.0375366,82
-0.0372314,82
-0.0369263,82
-0.0366211,82
-0.0366211,82
-0.0363159,82
-0.0363159,82
-0.0363159,82
-0.0360107,82
-0.0354004,82
-0.03479,82
-0.0344849,82
-0.0341797,82
-0.0338745,82
-0.0332642,82
-0.032959,82
-0.0323486,82
-0.0317383,82
-0.0311279,82
-0.0308228,82
-0.0305176,82
-0.0308228,82
-0.0308228,82
-0.0314331,82
-0.0317383,82
-0.0320435,82
-0.0326538,82
-0.032959,82
-0.0332642,82
-0.0332642,82
-0.032959,82
-0.0326538,82
-0.0320435,82
-0.0311279,82
-0.0299072,82
-0.0283813,82
-0.0262451,82
-0.0231934,82
-0.0192261,82
-0.0140381,82
-0.00732422,82
0.000305176,82
0.00976563,82
0.020752,82
0.0338745,82
0.0491333,82
0.0665283,82
0.0857544,82
0.107117,82
0.130615,82
0.15625,82
0.184326,82
0.214233,82
0.245972,82
0.279541,82
0.314026,82
0.348511,82
0.382385,82
0.414429,82
0.444031,82
